REF_ID,author,year,journal,pages,DOI,reference
Butt_1997_pedo_p369-374,Butt,1997,pedo,p369-374,na,"Butt, K. R. 1997. Reproduction and growth of the earthworm Allolobophora chlorotica (Savigny, 1826) in controlled environments. Pedobiologia 41:369-374."
Butt_1998_ase_p75-79,Butt,1998,ase,p75-79,10.1016/s0929-1393(98)00057-2,"Butt, K. R. 1998. Interactions between selected earthworm species: a preliminary, laboratory-based study. Applied Soil Ecology 9:75-79."
Butt_2011_pedo_ps27-s29,Butt,2011,pedo,ps27-s29,10.1016/j.pedobi.2011.08.003,"Butt, K. R. and M. J. I. Briones. 2011. Life cycle studies of the earthworm Lumbricus friendi (Cognetti, 1904). Pedobiologia 54, Supplement:S27-S29."
Butt_2011_sbb_p2169-2175,Butt,2011,sbb,p2169-2175,10.1016/j.soilbio.2011.06.021,"Butt, K. R. 2011. Food quality affects production of Lumbricus terrestris (L.) under controlled environmental conditions. Soil Biology & Biochemistry 43:2169-2175."
Chauhan_2013_ijrowa_p11,Chauhan,2013,ijrowa,p11,10.1186/2251-7715-2-11,"Chauhan, H. K. and K. Singh. 2013. Effect of tertiary combinations of animal dung with agrowastes on the growth and development of earthworm Eisenia fetida during organic waste management. International Journal of Recycling of Organic Waste in Agriculture 2:11."
Cluzeau_1989_rebs_p111-121,Cluzeau,1989,rebs,p111-121,na,"Cluzeau, D. and L. Fayolle. 1989. Croissance et fécondité de Dendrobaena rubida tenuis (Eisen, 1874), Eisenia andrei (Bouché, 1972) et lumbricus rubellus rubellus (Hoffmeister, 1843) (Oligochaeta, Lumbricidae) en élevage contrôlé. Revue d'écologie et de biologie du sol 26:111-121."
Cluzeau_1992_PhD_p182,Cluzeau,1992,PhD,p182,na,"Cluzeau, D. 1992. Structure et dynamique des peuplements lombriciens dans des systèmes tempérés anthropisés. Université de Rennes, Rennes, France."
Cluzeau_1992_sbb_p1309-1315,Cluzeau,1992,sbb,p1309-1315,10.1016/0038-0717(92)90110-j,"Cluzeau, D., L. Fayolle, and M. Hubert. 1992. The adaptation value of reproductive strategy and mode in three epigeous earthworm species. Soil Biology & Biochemistry 24:1309-1315."
Coulibaly_2010_ejsb_p225-229,Coulibaly,2010,ejsb,p225-229,10.1016/j.ejsobi.2010.03.004,"Coulibaly, S. S. and I. A. Zoro Bi. 2010. Influence of animal wastes on growth and reproduction of the African earthworm species Eudrilus eugeniae (Oligochaeta). European Journal of Soil Biology 46:225-229."
Curry_1987_bfs_p95-98,Curry,1987,bfs,p95-98,10.1007/bf00260586,"Curry, J. P. and K. E. Boyle. 1987. Growth rates, establishment, and effects on herbage yield of introduced earthworms in grassland on reclaimed cutover peat. Biology and Fertility of Soils 3:95-98."
